,Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
0,01/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,
1,01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,
2,01/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,
3,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
4,01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,
5,01/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,
6,01/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,
7,01/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,
8,01/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,
9,01/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,
10,01/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,
11,01/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,
12,01/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,
13,01/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,
14,01/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,
15,01/26/2021,32.42517526211887,-31.34033812531446,-70.75128424657534,-33.00992882078252,-15.705712142321296,28.250177080781935,-30.958515169041483,-15.236764881049064,-52.44149660143673,108.59138018200203,-41.30310671297398,-55.558313681684666,-32.77130066171618,-6.910053012608667,-13.642863059928615,20.736195276179465,-50.57576969212315,-24.47611245256985,-28.01858142577633,-45.60833182830654,-26.225356546170264,-41.67419199025558,-34.5927094577763,-51.34642777546294,14.760842119893598
16,01/27/2021,193.29051756705704,44.21127754188045,15.030363118106333,75.49237431745433,305.2652259332024,258.0594837716277,139.96332838557584,-24.124847183707544,-15.230794040663417,216.80013777662964,50.95396298054106,45.04612117592408,28.203652994639945,100.48037032184811,-26.398940844916897,47.957260239734225,13.456809501386491,149.08549837830608,57.90648153549968,13.549701644593219,48.13432651919048,74.21231571851462,78.41898413014277,-11.73705124058587,114.39780168381665
17,01/28/2021,36.68311499636801,-8.038597441452595,-60.663928438520806,-28.342586693364886,18.65287198420194,55.040835013406365,-31.858883209715227,-41.39816624511382,-40.98881431767338,50.85228057573832,-57.784923949157196,-1.62544990131197,-44.75191797375256,53.21944991812606,-31.568214708590975,8.67911690015917,-12.311354198318647,74.10507209841685,-22.08356967290603,-15.416697978507552,23.291994712488723,-22.538688450192875,-27.808786027041332,-25.9841876238534,-9.368408277902669
