,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,80.02721957,63.44277551,88.32530438,91.17627966,92.95874885,58.31300528,93.20457251,68.20928891,79.53874374,49.97266615,86.28301239,39.15072939,86.10815063,92.33957203,67.84264099,97.32880753,85.81281754,99.72139117,60.81584592,69.51955546,80.37011489,79.44390008,84.63671176,84.68954277,74.13133978
14,80.92329591,63.61887812,90.32896695,93.4584426,94.03252797,66.24815661,94.4093561,57.31514168,80.25767311,40.03439456,87.30189814,41.36970189,84.35365396,92.67021058,68.14754928,45.19354225,86.20309128,89.84323343,39.48391266,64.35874621,81.97436331,71.31116101,86.45909676,85.38539461,77.53479282
15,79.85887133,46.58009907,81.36888583,89.88398726,88.15018653,57.89829432,87.63823846,59.00908614,66.20474114,39.05049415,85.80436077,31.81666176,87.65053041,91.34340845,69.57646457,46.37026065,87.32924261,88.28784158,35.94586076,66.63700962,74.40705641,71.67687251,76.43466005,80.96936657,69.70219227
16,81.52702103,35.33909393,81.71433564,91.33440593,89.69388433,59.71447979,88.5817278,54.36235821,54.02434989,47.30294783,86.04073185,22.82368184,87.70784346,92.15396138,67.31419468,56.20166083,82.65089071,89.93494616,36.19546325,74.56026156,74.9810272,78.12235671,75.33517111,71.8384262,61.04043148
17,85.81792438,37.4305309,85.41124698,92.66905572,90.36885245,64.21873168,89.36196724,57.02201027,59.13725735,63.02268944,88.15789258,30.55464117,88.85868702,93.26839945,71.27478139,59.40088159,84.59559609,91.38077703,33.34969515,76.13935121,78.22430764,90.5279333,79.74054288,77.24191414,68.60349764
18,84.11517033,28.59160163,86.85460674,93.38106261,89.11648496,53.87113006,89.05047081,43.36404903,64.57667303,65.78392944,83.75060244,26.25026134,87.15779517,77.34933981,59.14625884,52.1260085,73.56650166,78.89665466,29.75630157,73.13481102,72.60815012,87.30961574,68.99119688,73.7391975,72.53735546
